0|0|Beta Probabilistic Databases: A Scalable Approach to Belief Updating and Parameter Learning|0|2017-04-01
1|2|Summarizing Large Query Logs in Ettu|10|2016-06-01
2|6|The Exception That Improves The Rule|12|2016-03-01
3|6|Provenance-aware Versioned Dataworkspaces|13|2016-08-18
4|9|Small Data|4|2017-01-05
5|8|Stop the Truthiness and Just Be Wrong|6|2017-03-10
6|0|Convergent Inference with Leaky Joins|5|2017-04-01
7|1|Lenses: An On-Demand Approach to ETL|15|2015-01-01
8|2|Beta Probabilistic Databases: A Scalable Approach to Belief Updating and Parameter Learning|8|2016-07-01
9|6|Communicating Data Quality in On-Demand Curation|11|2016-09-09
10|6|Adaptive Schema Databases|6|2017-03-01
11|2|Mimir: Bringing CTables into Practice|10|2016-02-05
12|0|Just in Time Datastructures|9|2015-03-01
13|7|Mimir: Bringing CTables into Practice|8|2016-06-01
14|6|Ettu: Analyzing Query Intents in Corporate Databases|14|2016-03-25
15|6|A Preliminary Cyber Ontology for Insider Threats in the Financial Sector|16|2015-09-15
16|7|Exploiting Qualitative User Feedback in Deterministic and Probabilistic Databases|8|2016-06-01
